,transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,age,ageCategory,corridorID,corridorName,serviceType,direction,distance_km,seqDiff,tripDuration,dayOfWeek,peakHour,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
11694,TAJA773Q0B34AE,180060352930644,emoney,R. Sabrina Megantara,Male,1997,26,Adult,11K,Rusun Komarudin - Penggilingan,BRT,0.0,0.66,1,0.764,Friday,True,Walikota Jakarta Timur,-6.21254,106.94537,1,2023-04-28 05:37:51,Penggilingan,-6.214132,106.93961,2,2023-04-28 06:23:40,3500.0
11699,WTKE277Z4T05JS,4071961106848962,dki,"Drs. Genta Irawan, M.Pd",Male,1993,30,Adult,10B,Rusun Cipinang Besar Selatan - Penas Kalimalang,BRT,0.0,0.3,1,0.413,Friday,True,Rusun Cipinang Besar Selatan,-6.231625,106.88288,0,2023-04-28 06:17:00,TPU Kb. Nanas 2,-6.232106,106.88017,1,2023-04-28 06:41:47,3500.0
11700,OAWD767P7C23YL,180062659848800,emoney,Bajragin Usada,Male,2008,15,Teenager,5,Matraman Baru - Ancol,BRT,0.0,3.67,4,1.391,Friday,True,Budi Utomo,-6.166063,106.83906,9,2023-04-28 16:37:27,Pademangan,-6.133704,106.83164,13,2023-04-28 18:00:55,3500.0
11702,OMPP613X9L39RK,4996225095064169,dki,Emong Wastuti,Female,1992,31,Adult,R1A,Pantai Maju - Kota,BRT,1.0,0.38,1,0.935,Friday,True,Mayang Permai,-6.116421,106.75963,30,2023-04-28 17:11:54,Simpang Mandara Permai 2,-6.116512,106.75622,31,2023-04-28 18:08:00,3500.0
11704,CYVI855S5G53RA,570928206772,flazz,Embuh Mardhiyah,Male,1982,41,Adult,12,Tanjung Priok - Pluit,BRT,1.0,2.67,2,1.835,Friday,True,Sunter Kelapa Gading Arah Utara,-6.1429,106.89076,15,2023-04-28 17:54:06,Walikota Jakarta Utara Arah Utara,-6.118842,106.89314,17,2023-04-28 19:44:12,3500.0
11711,GDRM704Y5B00TH,347204308990092,emoney,R.M. Labuh Laksmiwati,Female,1984,39,Adult,M7B,BKN - Blok M,BRT,0.0,2.93,13,1.241,Friday,True,Kalibata City 2,-6.255816,106.85237,7,2023-04-28 16:12:22,Tendean,-6.240213,106.83102,20,2023-04-28 17:26:48,3500.0
11712,NLJL329Q2B44DE,3536759468239783,dki,Shakila Maryadi,Female,1988,35,Adult,9A,PGC 2 - Grogol 2,BRT,0.0,2.93,4,1.424,Friday,True,Cawang Ciliwung Arah Barat,-6.243292,106.86359,5,2023-04-28 17:05:15,Pancoran Barat Arah Barat,-6.241672,106.8372,9,2023-04-28 18:30:43,3500.0
11713,EUJV870P6E01KD,6575130739600630,dki,Danuja Usada,Female,2002,21,Young Adult,4,Pulo Gadung 2 - Tosari,BRT,0.0,2.28,4,1.631,Friday,True,Pramuka BPKP,-6.192192,106.87401,5,2023-04-28 16:30:03,Matraman 2,-6.19891,106.8545,9,2023-04-28 18:07:56,3500.0
11715,QUYS610G0I12UK,4532407180860336,dki,H. Lutfan Nurdiyanti,Male,2011,12,Children,S22,Ciputat - Kampung Rambutan,BRT,1.0,1.22,2,1.594,Friday,True,Pusdiklat Kemenag 2,-6.312209,106.75252,20,2023-04-28 16:14:43,Pom Bensin Ciputat,-6.321313,106.74627,22,2023-04-28 17:50:20,3500.0
11716,DALZ756Z0B12DK,4556326832434362836,brizzi,Sari Nababan,Female,2004,19,Young Adult,13,Ciledug - Tendean,BRT,0.0,4.84,7,0.982,Friday,True,JORR,-6.236104,106.75488,3,2023-04-28 17:45:58,CSW 1,-6.23994,106.79843,10,2023-04-28 18:44:53,3500.0
11718,LXDZ109I7N47TD,502034641014,flazz,"Adikara Kurniawan, S.Sos",Male,2003,20,Young Adult,9,Pinang Ranti - Pluit,BRT,0.0,3.06,3,1.261,Friday,True,Jembatan Dua,-6.143279,106.79352,21,2023-04-28 16:40:24,Pluit,-6.115795,106.79037,24,2023-04-28 17:56:04,3500.0
11722,WRKZ884E9T98DX,676293109036,flazz,Fathonah Saefullah,Male,1983,40,Adult,6V,Ragunan - Gelora Bung Karno,BRT,1.0,1.7,2,1.859,Friday,True,SMK 57,-6.290967,106.82365,14,2023-04-28 16:28:10,Ragunan,-6.305769,106.81949,16,2023-04-28 18:19:41,3500.0
11725,FSYG360M8Z30UD,4968156435384914,dki,Martana Suartini,Female,2007,16,Teenager,11,Pulo Gebang - Matraman,BRT,1.0,1.82,2,1.393,Friday,True,Imigrasi Jakarta Timur,-6.214632,106.88227,4,2023-04-28 17:44:48,Stasiun Klender,-6.213532,106.89866,6,2023-04-28 19:08:23,3500.0
11727,HLHJ499J0V73IN,4384653483539395,dki,"Cut Hana Maulana, S.H.",Female,1979,44,Adult,3B,Rusun Flamboyan - Cengkareng,BRT,1.0,0.44,2,1.758,Friday,True,Sbr. Ps. Cengkareng,-6.151851,106.72708,1,2023-04-28 16:32:04,BSI Cengkareng,-6.147973,106.72781,3,2023-04-28 18:17:31,3500.0
11728,YJSF044G1B86WQ,213155309116759,emoney,Tgk. Ilsa Farida,Male,1983,40,Adult,R1A,Pantai Maju - Kota,BRT,1.0,6.71,28,1.321,Friday,True,Jln. Tiang Bendera III,-6.134768,106.80901,5,2023-04-28 17:48:11,RS PIK 2,-6.112549,106.75264,33,2023-04-28 19:07:28,3500.0
11735,CXYR239M0U25PX,2247096843683316,dki,"Tgk. Aris Pradipta, M.M.",Female,2010,13,Teenager,14,Jakarta International Stadium - Senen,BRT,0.0,1.4,3,0.873,Friday,True,Sbr. Sunter Icon,-6.134808,106.85595,5,2023-04-28 17:35:15,Danau Agung 1,-6.147281,106.8582,8,2023-04-28 18:27:38,3500.0
11737,PNDN840G3F94OV,639040388584,flazz,"Galang Megantara, S.Ked",Male,1989,34,Adult,JIS3,Harmoni - Jakarta International Stadium,BRT,1.0,1.1,2,1.832,Friday,True,Simpang Danau Sunter Utara Barat,-6.139853,106.85663,11,2023-04-28 17:57:06,Jembatan Item,-6.130078,106.85492,13,2023-04-28 19:47:02,3500.0
11739,BMMX912C9U52NM,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",Male,1986,37,Adult,2,Pulo Gadung - Monas,BRT,1.0,4.91,7,1.977,Friday,True,Cempaka Tengah,-6.170398,106.86659,8,2023-04-28 17:27:24,Pulo Gadung 1,-6.183239,106.90907,15,2023-04-28 19:26:01,3500.0
11743,HCEK580G7V65HG,4017802962833960,dki,Aurora Hasanah,Female,1990,33,Adult,M11,Pulo Gebang - Pulo Gadung 2,BRT,1.0,1.7,2,1.033,Friday,True,Flyover Radin Inten,-6.215982,106.92438,4,2023-04-28 17:14:02,Penggilingan,-6.214132,106.93961,6,2023-04-28 18:16:01,3500.0
11745,DKXJ970D0X02KR,347394043585982,emoney,Darmaji Wahyuni,Female,2003,20,Young Adult,9N,Pinang Ranti - Pramuka,BRT,1.0,3.79,1,1.224,Friday,True,BKN,-6.257751,106.87,0,2023-04-28 16:48:27,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-28 18:01:52,3500.0
11748,ZBIC484E9L37FA,2718070346782735,dki,Asman Uyainah,Female,2005,18,Young Adult,2,Pulo Gadung - Monas,BRT,1.0,1.29,1,1.602,Friday,True,Bermis,-6.178203,106.89859,14,2023-04-28 17:52:16,Pulo Gadung 1,-6.183239,106.90907,15,2023-04-28 19:28:25,3500.0
11749,EWLD601O3X63YU,342531623551844,emoney,Zulaikha Yulianti,Female,1991,32,Adult,13,Ciledug - Tendean,BRT,0.0,1.91,2,1.78,Friday,True,Mayestik,-6.241921,106.79077,9,2023-04-28 17:05:29,Tirtayasa,-6.239207,106.80777,11,2023-04-28 18:52:16,3500.0
11752,FLVF513Q8H41HV,566171543168,flazz,Laila Simanjuntak,Female,1992,31,Adult,11,Pulo Gebang - Matraman,BRT,0.0,1.09,2,1.825,Friday,True,Slamet Riyadi,-6.208533,106.85929,16,2023-04-28 16:46:40,Matraman 1,-6.19998,106.85443,18,2023-04-28 18:36:09,3500.0
11754,TCIN366D2N29GI,3527853482331808,dki,Puti Paris Marpaung,Male,2003,20,Young Adult,13B,Puri Beta - Pancoran Barat,BRT,0.0,2.43,1,1.384,Friday,True,Rawa Barat,-6.238947,106.81624,12,2023-04-28 17:16:52,Pancoran Barat Arah Timur,-6.241571,106.83808,13,2023-04-28 18:39:55,3500.0
11758,EWPU287V2Y98SK,340065298083181,emoney,Tgk. Garda Utami,Female,2010,13,Teenager,M7,Kampung Rambutan - Monas,BRT,1.0,12.14,19,1.0,Friday,True,Dukuh Atas,-6.205702,106.82223,5,2023-04-28 17:47:43,Flyover Raya Bogor,-6.3065,106.8657,24,2023-04-28 18:47:43,3500.0
11763,VLAS867N3E75LL,180057903365395,emoney,Daryani Prabowo,Male,1989,34,Adult,1,Blok M - Kota,BRT,0.0,2.15,3,1.497,Friday,True,Masjid Agung,-6.236483,106.79845,2,2023-04-28 16:57:54,Polda Metro Jaya,-6.221094,106.81028,5,2023-04-28 18:27:42,3500.0
11764,UBUS649T4C97PG,3551174827324245,dki,Gangsa Widodo,Male,1966,57,Adult,3A,Rusun Pesakih - Kalideres,BRT,0.0,0.24,1,0.858,Friday,True,Rusun Pesakih,-6.161468,106.71698,0,2023-04-28 16:45:23,Masjid Raya KH Hasyim Asyari,-6.159272,106.71708,1,2023-04-28 17:36:51,3500.0
11766,QPAQ256I0Q29LC,3569562588766630,dki,"dr. Sakura Budiman, S.IP",Male,1972,51,Adult,3C,Rusun Kapuk Muara - Penjaringan,BRT,0.0,3.38,1,0.931,Friday,True,Rusun Kapuk Muara,-6.135667,106.76299,0,2023-04-28 17:22:31,Penjaringan,-6.126306,106.79203,1,2023-04-28 18:18:23,3500.0
11767,FNBX397W9K40UX,180016859215889,emoney,"Zalindra Irawan, M.TI.",Male,1992,31,Adult,M8,Lebak Bulus - Pasar Baru,BRT,1.0,2.04,2,1.112,Friday,True,RS Tarakan,-6.171146,106.81011,21,2023-04-28 17:43:48,Pecenongan,-6.16771,106.82819,23,2023-04-28 18:50:33,3500.0
11768,PGUB028P3R05QG,373945281501952,emoney,"Jamal Pudjiastuti, S.I.Kom",Female,1981,42,Adult,B21,Bekasi Timur - Cawang,BRT,0.0,16.61,5,1.953,Friday,True,BTC,-6.258292,107.02069,8,2023-04-28 17:41:41,BNN LRT,-6.245863,106.871143,13,2023-04-28 19:38:51,3500.0
11773,HWWS315D6D78VO,4766007569419196,dki,"Danu Suartini, S.Farm",Male,2010,13,Teenager,3,Kalideres - Bundaran HI via Veteran,BRT,0.0,6.23,8,1.469,Friday,True,Bundaran HI,-6.193021,106.823,0,2023-04-28 16:47:08,Indosiar,-6.163376,106.77514,8,2023-04-28 18:15:16,3500.0
11775,NZQG347S3G80ZA,587887634588,flazz,Drs. Harjo Nurdiyanti,Male,1986,37,Adult,14,Jakarta International Stadium - Senen,BRT,1.0,1.81,3,1.081,Friday,True,Polres Metro Jakpus,-6.159496,106.8514,7,2023-04-28 16:30:20,Sunter Muara 1,-6.144331,106.85745,10,2023-04-28 17:35:11,3500.0
11779,JXDN943B9T69GU,180022972730457,emoney,"Tgk. Tania Zulaika, M.Pd",Female,2010,13,Teenager,M10,PGC 2 - Tanjung Priok,BRT,0.0,7.48,9,1.119,Friday,True,Pulo Mas Bypass,-6.176953,106.876,12,2023-04-28 16:57:53,Tanjung Priok,-6.10959,106.88214,21,2023-04-28 18:05:02,3500.0
11780,KEMY984K3Y79AB,2237440645700724,dki,Latika Sirait,Male,1953,70,Senior Adult,10D,Kampung Rambutan - Tanjung Priok,BRT,0.0,0.94,1,1.893,Friday,True,Tanah Merdeka Arah Timur,-6.307866,106.87389,16,2023-04-28 16:46:31,Kampung Rambutan,-6.309885,106.88216,17,2023-04-28 18:40:05,3500.0
11782,JKWM860I6U45XV,4730280883020443501,brizzi,Zamira Puspita,Male,1977,46,Adult,B11,Summarecon Bekasi - BNN,BRT,1.0,14.06,5,1.418,Friday,True,BNN LRT,-6.245863,106.871143,0,2023-04-28 16:21:20,Bandar Djakarta Bekasi,-6.227085,106.99683,5,2023-04-28 17:46:25,3500.0
11786,OYQI185F6Z87DX,4000041838802,online,Diah Marpaung,Male,2012,11,Children,11M,Rusun Rawa Bebek - Bukit Duri,BRT,1.0,0.98,1,1.652,Friday,True,Flyover Klender,-6.213596,106.90306,7,2023-04-28 17:26:32,Kampung Sumur,-6.214412,106.91189,8,2023-04-28 19:05:39,3500.0
11788,VQMY101C3F06IS,30583455954585,bni,Bahuwirya Rahayu,Male,1981,42,Adult,2F,Rusun Cakung Barat - Pulo Gadung,BRT,0.0,0.59,1,1.561,Friday,True,Tipar Cakung,-6.183387,106.92463,2,2023-04-28 17:24:37,Cakung United Tractors,-6.18324,106.92998,3,2023-04-28 18:58:18,3500.0
11789,UJXL271J3X64ZA,3537543297101185,dki,Samsul Ramadan,Male,1966,57,Adult,M11,Pulo Gebang - Pulo Gadung 2,BRT,0.0,2.08,3,1.748,Friday,True,Perumnas Klender,-6.216689,106.93054,3,2023-04-28 17:00:15,Kampung Sumur,-6.214412,106.91189,6,2023-04-28 18:45:07,3500.0
11790,LRES873D3Q09YM,2720484776954605,dki,Bancar Irawan,Male,1999,24,Young Adult,3B,Rusun Flamboyan - Cengkareng,BRT,1.0,1.05,2,1.714,Friday,True,Puskesmas Cengkareng,-6.144546,106.72866,4,2023-04-28 17:01:20,Perumahan KFT 1,-6.135093,106.72983,6,2023-04-28 18:44:10,3500.0
11792,UFVF819O2T53TT,2291402671071407,dki,Puspa Saptono,Female,1984,39,Adult,2,Pulo Gadung - Monas,BRT,1.0,0.75,1,1.315,Friday,True,Pulo Mas,-6.174736,106.89277,13,2023-04-28 17:12:17,Bermis,-6.178203,106.89859,14,2023-04-28 18:31:11,3500.0
11794,BNOU431O0T15GX,180020791350481,emoney,T. Karna Sihombing,Female,2001,22,Young Adult,5D,PGC 1 - Ancol,BRT,1.0,4.98,8,1.517,Friday,True,Tegalan,-6.203101,106.85715,11,2023-04-28 16:18:25,BNN LRT,-6.245863,106.871143,19,2023-04-28 17:49:27,3500.0
11797,GXJN033N1Q05WR,6590854673757012,dki,Bajragin Najmudin,Male,1986,37,Adult,3H,Jelambar - Kota,BRT,1.0,0.6,1,0.869,Friday,True,Sawah Besar Arah Selatan,-6.157368,106.818661,4,2023-04-28 17:48:25,Harmoni Arah Selatan,-6.162687,106.81992,5,2023-04-28 18:40:33,3500.0
11798,WUFQ552F9S58RB,4963710913075879668,brizzi,Ophelia Firmansyah,Male,2000,23,Young Adult,14,Jakarta International Stadium - Senen,BRT,1.0,2.95,7,1.427,Friday,True,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3,2023-04-28 17:23:00,Sunter Muara 1,-6.144331,106.85745,10,2023-04-28 18:48:38,3500.0
11807,RAKD797X0J31HC,30276672399789,bni,"Teguh Wijaya, S.Pt",Female,1981,42,Adult,5C,PGC - Juanda,BRT,1.0,2.19,3,0.956,Friday,True,Pasar Jatinegara,-6.215744,106.86632,10,2023-04-28 16:49:37,Gelanggang Remaja,-6.235445,106.86795,13,2023-04-28 17:46:59,3500.0
11811,LZPQ605B6W61KW,4547245090487583462,brizzi,Padmi Marpaung,Female,1992,31,Adult,4E,Rusun Jatinegara Kaum - Pulo Gadung,BRT,1.0,3.02,9,1.433,Friday,True,Pulo Gadung,-6.183245,106.90868,0,2023-04-28 17:35:44,Jln. Swadaya Pln,-6.20965,106.90171,9,2023-04-28 19:01:43,3500.0
11815,CNMR503Z7N14LD,345353368043961,emoney,Ir. Salwa Yuniar,Female,2005,18,Young Adult,2H,Rusun Jati Rawasari - Senen,BRT,0.0,1.53,2,1.818,Friday,True,Bengkel Jln. Letjen Suprapto,-6.174721,106.85362,3,2023-04-28 16:17:33,RSPAD 1,-6.176162,106.83987,5,2023-04-28 18:06:37,3500.0
11820,EWNN343Z6F42NM,3570416613897992,dki,"Gawati Damanik, S.E.",Female,2010,13,Teenager,5C,PGC - Juanda,BRT,1.0,2.54,2,1.656,Friday,True,Budi Utomo,-6.166063,106.83906,1,2023-04-28 16:27:18,Kramat Sentiong,-6.18798,106.84595,3,2023-04-28 18:06:39,3500.0
11825,OVNN253U6V07MA,4375765946745400,dki,Ghaliyati Prayoga,Female,1987,36,Adult,5D,PGC 1 - Ancol,BRT,1.0,2.16,3,1.239,Friday,True,Ancol,-6.127563,106.83039,0,2023-04-28 17:22:44,Jembatan Merah,-6.146731,106.83427,3,2023-04-28 18:37:03,3500.0
11827,PJVO765V5C50PO,344423213182214,emoney,dr. Gasti Budiyanto,Male,1998,25,Adult,5C,PGC - Juanda,BRT,1.0,0.91,3,1.565,Friday,True,Cawang Otista,-6.243607,106.86876,14,2023-04-28 16:33:16,Cawang UKI,-6.250309,106.8736,17,2023-04-28 18:07:11,3500.0
11829,YYKY815M7D14BE,3508055251895822,dki,Jasmani Sirait,Male,1975,48,Adult,L13E,Puri Beta - Kuningan (Express),BRT,1.0,2.75,1,1.949,Friday,True,Adam Malik,-6.236466,106.74786,10,2023-04-28 16:49:10,Puri Beta 2,-6.230532,106.72371,11,2023-04-28 18:46:08,3500.0
11830,USYV723K6P74WS,570918242399,flazz,Mumpuni Gunarto,Female,1998,25,Adult,10D,Kampung Rambutan - Tanjung Priok,BRT,1.0,5.71,5,1.687,Friday,True,Pulo Mas Bypass,-6.176953,106.876,8,2023-04-28 17:04:39,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13,2023-04-28 18:45:51,3500.0
11833,YILF924H8F16BQ,30158257275842,bni,R. Yani Ardianto,Female,1984,39,Adult,9N,Pinang Ranti - Pramuka,BRT,1.0,4.1,2,1.067,Friday,True,BKN,-6.257751,106.87,0,2023-04-28 17:38:53,Pinang Ranti,-6.291075,106.88634,2,2023-04-28 18:42:54,3500.0
11837,WFDF456K8C23DH,4966489323202,online,Eka Yolanda,Male,1998,25,Adult,B21,Bekasi Timur - Cawang,BRT,0.0,8.6,8,1.404,Friday,True,Bulak Kapal 1,-6.250708,107.02395,4,2023-04-28 16:29:32,Jatibening 1,-6.257161,106.94651,12,2023-04-28 17:53:45,3500.0
11838,KDHA641M7A91YP,3565938568828570,dki,Oliva Saefullah,Female,1987,36,Adult,12C,Rusun Waduk Pluit - Penjaringan,BRT,1.0,1.33,3,1.481,Friday,True,Gg. VIII Muara Baru,-6.122869,106.80402,3,2023-04-28 16:50:03,Rusun Waduk Pluit,-6.111456,106.80022,6,2023-04-28 18:18:56,3500.0
11839,PGVV599H6H71BO,2407683922581481,dki,Irfan Damanik,Male,1993,30,Adult,14,Jakarta International Stadium - Senen,BRT,0.0,4.03,11,1.152,Friday,True,Sunter Muara,-6.144072,106.85763,7,2023-04-28 17:41:14,RSPAD 3,-6.175462,106.83922,18,2023-04-28 18:50:21,3500.0
11840,GJMX960L7X19OH,676368577380,flazz,"Tgk. Puput Hartati, S.Psi",Female,1982,41,Adult,2F,Rusun Cakung Barat - Pulo Gadung,BRT,0.0,0.61,1,1.551,Friday,True,SMK Nurul Huda,-6.17684,106.93592,4,2023-04-28 16:18:16,Rusun Tipar Cakung,-6.171493,106.93731,5,2023-04-28 17:51:21,3500.0
11849,VAGO553Q5G75VH,4946777822784,online,Wirda Yuliarti,Male,1990,33,Adult,5,Matraman Baru - Ancol,BRT,1.0,1.11,2,1.962,Friday,True,Slamet Riyadi,-6.208533,106.85929,13,2023-04-28 16:17:53,Pasar Jatinegara,-6.215744,106.86632,15,2023-04-28 18:15:38,3500.0
11850,HZLY849Q8F23XD,3575787320226609,dki,"KH. Argono Nashiruddin, S.Gz",Male,1988,35,Adult,11N,Rusun Cipinang Muara - Jatinegara,BRT,1.0,1.02,3,1.448,Friday,True,Ps. Enjo 2,-6.214775,106.87785,2,2023-04-28 17:13:27,Sbr. Jln. Cipinang Jaya,-6.214238,106.88701,5,2023-04-28 18:40:20,3500.0
11852,SHZF037Y6V97FK,3507107976417837,dki,Gatra Rahayu,Male,1946,77,Senior Adult,6V,Ragunan - Gelora Bung Karno,BRT,1.0,1.07,2,1.441,Friday,True,Masjid Agung,-6.236483,106.79845,2,2023-04-28 17:41:38,Tirtayasa,-6.239207,106.80777,4,2023-04-28 19:08:06,3500.0
11853,UYWR681L7A22GN,4203562511038947968,brizzi,drg. Tantri Situmorang,Female,1983,40,Adult,12,Tanjung Priok - Pluit,BRT,0.0,1.18,1,1.705,Friday,True,Penjaringan,-6.126306,106.79203,17,2023-04-28 16:59:16,Pluit,-6.115795,106.79037,18,2023-04-28 18:41:33,3500.0
11855,NQKB622E3A51UV,180009851731375,emoney,Elvina Hardiansyah,Female,1991,32,Adult,2E,Rusun Rawa Bebek - Kodamar,BRT,0.0,0.78,2,1.862,Friday,True,Bermis 2,-6.178353,106.89841,26,2023-04-28 17:14:33,Pulo Mas 2,-6.174677,106.892419,28,2023-04-28 19:06:16,3500.0
11859,GBJX163A8N30ZK,4974804949914047,dki,Gangsar Siregar,Male,1996,27,Adult,2A,Pulo Gadung - Rawa Buaya via Balai Kota,BRT,0.0,3.39,3,1.396,Friday,True,Petojo,-6.169984,106.81698,15,2023-04-28 17:26:39,Jelambar,-6.166548,106.78651,18,2023-04-28 18:50:24,3500.0
11862,ZHHX932L4B69JL,4122123545871,online,"Cahyono Firmansyah, S.Pd",Male,1992,31,Adult,M10,PGC 2 - Tanjung Priok,BRT,0.0,8.09,10,1.861,Friday,True,Penas Kalimalang,-6.23907,106.878,4,2023-04-28 17:11:18,Cempaka Mas,-6.165888,106.8792,14,2023-04-28 19:02:59,3500.0
11865,BUSM103K2Q09HX,4941966320527194737,brizzi,Widya Nuraini,Female,1994,29,Adult,3,Kalideres - Bundaran HI via Veteran,BRT,0.0,1.13,2,1.184,Friday,True,RS Sumber Waras,-6.166294,106.79675,5,2023-04-28 16:25:40,Jelambar,-6.166548,106.78651,7,2023-04-28 17:36:41,3500.0
11866,JKRT345G7S07FO,370311431463416,emoney,Putu Sihombing,Male,1995,28,Adult,8A,Jelambar - Juanda,BRT,1.0,2.66,3,1.133,Friday,True,RS Tarakan,-6.171146,106.81011,3,2023-04-28 16:34:21,Jelambar,-6.166548,106.78651,6,2023-04-28 17:42:21,3500.0
11868,WCRW944X2B40TD,4719371541269014,dki,Nasab Megantara,Female,1997,26,Adult,3A,Rusun Pesakih - Kalideres,BRT,0.0,1.51,5,1.68,Friday,True,Rusun Pesakih,-6.161468,106.71698,0,2023-04-28 16:02:11,Kalideres 1,-6.154249,106.70544,5,2023-04-28 17:42:59,3500.0
11869,QKNX804U8B44OW,30428250357040,bni,Estiawan Hastuti,Male,2008,15,Teenager,M7B,BKN - Blok M,BRT,0.0,7.44,23,1.619,Friday,True,PGC 1,-6.262494,106.86635,1,2023-04-28 16:53:05,Blok M Jalur 2,-6.243369,106.80188,24,2023-04-28 18:30:15,3500.0
11870,IPBO903W2X34OC,340631865010459,emoney,Elisa Samosir,Female,1996,27,Adult,5D,PGC 1 - Ancol,BRT,0.0,1.12,1,1.507,Friday,True,Jembatan Merah,-6.146731,106.83427,17,2023-04-28 17:19:52,Gunung Sahari Mangga Dua,-6.136817,106.83237,18,2023-04-28 18:50:18,3500.0
11873,FIIF644B5W33CR,6011737385609178,dki,Darimin Mardhiyah,Female,1981,42,Adult,2E,Rusun Rawa Bebek - Kodamar,BRT,1.0,2.3,9,1.248,Friday,True,Kampung Padaengan 2,-6.189465,106.93484,11,2023-04-28 16:06:15,At Thahiriah 2,-6.210011,106.93809,20,2023-04-28 17:21:07,3500.0
11874,CVAS919N0Z38EU,4948977213350,online,Balapati Gunarto,Male,1977,46,Adult,9F,Rusun Tambora - Pluit,BRT,1.0,0.73,1,1.054,Friday,True,Jembatan Dua,-6.143279,106.79352,3,2023-04-28 17:55:18,Rusun Tambora,-6.147327,106.798676,4,2023-04-28 18:58:31,3500.0
11876,EUWJ205A5Z99ZW,6542837703080439,dki,Aurora Nasyiah,Male,1991,32,Adult,M4,Pulo Gadung 2 - Dukuh Atas 2,BRT,0.0,6.21,9,1.752,Friday,True,Velodrome,-6.193468,106.8883,5,2023-04-28 16:06:05,Halimun,-6.205137,106.83338,14,2023-04-28 17:51:13,3500.0
11878,DQSS753B6K98GM,565431772831,flazz,"Azalea Setiawan, S.E.",Female,2007,16,Teenager,10D,Kampung Rambutan - Tanjung Priok,BRT,1.0,18.49,12,1.896,Friday,True,Kampung Rambutan,-6.309885,106.88216,0,2023-04-28 17:34:17,Sunter Kelapa Gading Arah Utara,-6.1429,106.89076,12,2023-04-28 19:28:01,3500.0
11879,JHLW954K0A83CZ,3548815673143131,dki,"Dr. Luthfi Sihombing, M.TI.",Female,1998,25,Adult,13D,Puri Beta - Ragunan,BRT,0.0,5.51,9,0.844,Friday,True,Tirtayasa,-6.239207,106.80777,10,2023-04-28 17:36:32,Jati Padang,-6.285431,106.82626,19,2023-04-28 18:27:09,3500.0
11882,PUHB987L5J35ED,213127195148501,emoney,Viktor Zulkarnain,Male,1987,36,Adult,JIS3,Harmoni - Jakarta International Stadium,BRT,0.0,0.41,1,1.244,Friday,True,Pengadilan Negeri Jakut,-6.126807,106.85654,3,2023-04-28 17:56:42,Sbr. Jembatan Item,-6.130197,106.85511,4,2023-04-28 19:11:19,3500.0
11887,KYNT148U5S84HP,6581936160714795,dki,Puti Siregar,Male,1976,47,Adult,11P,Rusun Pondok Bambu - Walikota Jakarta Timur,BRT,1.0,0.31,1,0.988,Friday,True,Jln. Teluk Mandar 2,-6.238944,106.91004,21,2023-04-28 17:00:12,Rusun Pondok Bambu,-6.241583,106.91085,22,2023-04-28 17:59:30,3500.0
11890,EZUI793J9B10WA,30164080918459,bni,Daliono Adriansyah,Female,2012,11,Children,12,Tanjung Priok - Pluit,BRT,1.0,9.86,15,1.287,Friday,True,Gedong Panjang,-6.132617,106.80596,3,2023-04-28 16:35:56,Permai Koja Arah Utara,-6.11413,106.89309,18,2023-04-28 17:53:09,3500.0
11892,PEHA004L1E84LN,3548650711273610,dki,Balangga Permadi,Female,2011,12,Children,3F,Kalideres - Gelora Bung Karno,BRT,1.0,1.05,1,1.508,Friday,True,Grogol 2 Arah Selatan,-6.167435,106.78856,10,2023-04-28 17:59:19,S Parman Podomoro City Arah Timur,-6.175799,106.79308,11,2023-04-28 19:29:48,3500.0
11897,EIYS269C3T55YG,2720556419423963,dki,Devi Pangestu,Male,1994,29,Adult,3C,Rusun Kapuk Muara - Penjaringan,BRT,1.0,3.38,1,1.37,Friday,True,Penjaringan,-6.126306,106.79203,0,2023-04-28 17:12:52,Rusun Kapuk Muara,-6.135667,106.76299,1,2023-04-28 18:35:04,3500.0
11899,NSMO974B4I16GZ,502098244101,flazz,"Tgk. Talia Mangunsong, S.E.I",Male,1979,44,Adult,6V,Ragunan - Gelora Bung Karno,BRT,0.0,1.58,2,1.347,Friday,True,Masjid Agung,-6.236483,106.79845,13,2023-04-28 16:06:15,Gelora Bung Karno,-6.224217,106.8058,15,2023-04-28 17:27:04,3500.0
11908,TPXH931C0I34FC,4628562596639925,dki,Tira Saptono,Male,2010,13,Teenager,S21,Ciputat - CSW,BRT,1.0,2.91,8,1.832,Friday,True,Situ Gintung 1,-6.300534,106.76234,19,2023-04-28 16:11:09,Pom Bensin Ciputat,-6.321313,106.74627,27,2023-04-28 18:01:04,3500.0
11909,IYTA358C7Z52ZH,6521040134321754,dki,"Sutan Rosman Laksita, S.I.Kom",Female,1994,29,Adult,4,Pulo Gadung 2 - Tosari,BRT,1.0,3.13,4,1.039,Friday,True,Pramuka BPKP,-6.192192,106.87401,8,2023-04-28 17:19:13,Bermis,-6.178203,106.89859,12,2023-04-28 18:21:35,3500.0
